Data_type,Size,Features,Task,Model,Hyperparameters,Accuracy,Carbon_Emissions_kg
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",85.80999969999999,5.311912423e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",93.6999977,3.23889896e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",92.7699983,4.18040615e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.9499974,4.361639602e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",53.3100009,0.0005617454254569
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.7699983,0.0008840813677229
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",89.1600013,0.001447854993364
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",81.7700028,2.475923459e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",93.3600008,0.000868506214662
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",89.6200001,5.234897917e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",90.140003,0.000917385188376
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",88.8300002,0.000602588737987
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.4300005,0.001214059260743
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",89.2199993,0.0006673683088099
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.0400023,2.165181264e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",81.4199984,0.000749512741853
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",74.69000220000001,0.000567431590258
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",65.7599986,0.000486954754201
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",86.39000060000001,4.063803728e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",87.4100029,0.001199840831872
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",91.5700018,0.00090040082168
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",87.51999740000001,2.304199165e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",95.0600028,0.001756432614379
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",78.2000005,0.000800974497223
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.0999994,0.001213150675788
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",91.7400002,0.000756145307135
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",79.8500001,0.000588840047801
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",94.0900028,0.001534519288386
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",79.460001,0.000902526923422
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",76.7400026,0.000801470250734
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",93.4800029,0.000706987638798
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",93.2200015,0.001244946872346
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",94.1999972,0.001118979175664
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",90.1199996,0.000492950347086
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.690002,0.000739747247055
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",89.8699999,1.608264983e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",93.0100024,0.000779840217451
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",94.0699995,3.603928856e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 10}",90.1199996,0.001387850980983
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",93.3000028,0.000962199654627
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",90.9500003,0.0007159392583339
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 10}",89.5699978,0.00143794053051
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",92.9700017,2.993506966e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",92.9199994,0.000827946166731
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",91.5799975,0.000989484916722
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",92.3500001,0.000648908792653
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",90.7299995,0.000912739488888
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",94.5100009,0.001770372000626
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.4300005,0.0009045101740589
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",87.86000010000001,0.001248711962095
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",89.6499991,0.000613464921692
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",87.37000230000001,3.692512034e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",92.0599997,2.267698015e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",93.4800029,3.880141731e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",90.4200017,0.001683228561808
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",91.1899984,0.000655996803627
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",91.5700018,3.022553541e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",84.17999739999999,0.000946059883558
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",93.900001,0.001410503284868
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",95.1300025,4.909685957e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",85.24000050000001,2.781358735e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.9599991,4.800934133e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",90.8299983,0.000613200101107
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",94.1600025,4.516058601e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.5100019,5.13893446e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",92.5800025,0.0010019177652819
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",62.44000199999999,0.000944672964961
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",90.4500008,2.757769489e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.1800017,2.4638659900000003e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",93.7600017,3.350260646e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",93.5699999,0.0014068449116109
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",79.7399998,0.000645546592537
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",93.2699978,0.000680654060211
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",91.1000013,0.000741285870556
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",94.1900015,0.001128728498727
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",85.7599974,3.644465631e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",91.8900013,3.026803691e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",92.8600013,0.000746482808256
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 5}",87.95999880000001,2.299727778e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",93.1299984,0.00136100731785
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",93.9300001,0.001133288716496
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 5}",89.9500012,0.00063291630554
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",92.7900016,0.000751517539193
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",93.3799982,0.001212147408883
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",91.4399981,2.273310204e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",93.4099972,0.001187623269286
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 10}",94.1900015,0.001059263029188
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",91.8099999,0.00117061865435
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",93.0700004,3.732367475e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",92.5999999,3.460554193e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 5}",90.3299987,0.000717809048079
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",91.4799988,0.000922325858456
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",93.6699986,5.032970726e-06
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",83.6700022,0.001183943446448
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.001, 'epochs': 5}",92.7999973,0.000795228869501
Image,1000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",88.94000050000001,0.001453027437045
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",96.92999720573424,4.22087675121437e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",98.2200026512146,0.006155683686743
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",98.2699990272522,0.006914973870761
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",98.36999773979188,0.007070353476269
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",93.90000104904176,7.253796397743514e-06
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",98.36000204086304,0.004253045855574
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",97.32999801635742,0.007734556067403
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",95.8199977874756,9.178393306774657e-06
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 10}",97.97000288963318,0.003758909866638
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 10}",97.42000102996826,3.5255353065484706e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",97.7299988269806,1.530850491109361e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",97.5499987602234,9.207479745673045e-06
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",98.14000129699708,2.7115478517701548e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",97.75999784469604,1.0407023140368896e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",98.12999963760376,1.042761723511008e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",96.06000185012816,1.6312771078114864e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",94.8099970817566,1.2317169325525896e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",94.90000009536745,9.528978150941355e-06
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",96.57999873161316,2.7092582308544944e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",97.15999960899352,2.807049358898923e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 5}",97.71999716758728,1.7734870604179426e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 64, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",97.10999727249146,1.4267883507589225e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",98.12999963760376,4.258960317675274e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",95.50999999046326,1.2627857767558205e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",98.07999730110168,2.8752689373363443e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 64, 'dense_units': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",98.11999797821044,1.6128447636775346e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'epochs': 5}",95.06999850273132,1.268018814448292e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005, 'epochs': 10}",98.39000105857848,0.009783018745537
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0001, 'epochs': 10}",96.03999853134157,2.292785403950148e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'epochs': 5}",94.7700023651123,1.2593745827608196e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",97.7500021457672,1.5188746964523764e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 128, 'dense_units': 128, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 10}",98.42000007629396,3.236683548532003e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 64, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 10}",98.33999872207642,2.6354502283248446e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 256, 'dropout_rate': 0.5, 'learning_rate': 0.0005, 'epochs': 5}",97.61000275611876,1.3236346959381376e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 16, 'filters2': 64, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.0005, 'epochs': 10}",98.36999773979188,2.4370500642833964e-05
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 32, 'filters2': 32, 'dense_units': 128, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'epochs': 5}",98.04999828338624,0.003689269095925
Image,10000,28x28x1,Image Classification,CNN,"{'filters1': 64, 'filters2': 128, 'dense_units': 256, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'epochs': 5}",98.01999926567078,0.008362144330559
